Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-04-19;09:53:41;ZPc005;0000;8;AFF1FF112FF---1FF-------------;;399.4369;-0.6525438;;20557.14;-7.420204;;749.68;100.600;2703;1639;24.97;25.29;25.99;24.99;1499.0;43.2;39.3;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-04-19;10:01:29;ZPi005;0000;8;AFF1FF112FF---1FF-------------;CO2 Curve;399.4607;-0.6552938;;20575.47;0.5595118;;749.65;100.604;2714;1718;25.00;25.91;26.58;25.04;1499.4;1.6;39.2;7;;;;;;;;;;;;424;;;;;;;;;;;
2021-04-19;10:05:30;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.5164;-0.6552938;-3.832454;20556.6;0.5595118;412.143;749.64;100.582;2719;1699;25.00;25.95;26.76;25.08;1498.8;1.9;39.4;7;66.60;0.3939365;12.69379;31.03381;2.821042;248.1505;396.34;20968.2;;;;414;;;;;;;;;;;
2021-04-19;10:06:01;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.3876;-0.6552938;-3.738259;20568.15;0.5595118;393.1071;749.75;100.580;2721;1678;25.03;25.95;26.79;25.18;1499.6;0.9;39.2;7;66.48;0.3757684;12.68989;29.61164;2.740383;245.6041;396.33;20966.3;;;;414;439;;;0.0569;35.87;;;;;;0.840
2021-04-19;10:09:16;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;299.8008;-0.7498747;;20585.17;-4.595515;;749.69;100.592;2725;1668;25.00;25.97;26.77;25.07;1499.4;1.7;39.2;7;;;;;;;;;;;;407;;;;;;;;;;;
2021-04-19;10:13:16;MP_005;0001;8;AFF1FF112FF---1FF-------------;;299.7435;-0.7498747;-2.852308;20563.44;-4.595515;368.2696;749.66;100.596;2727;1676;25.00;25.98;26.91;25.05;1499.8;1.7;39.2;7;66.52;0.3568741;12.7797;27.92507;1.863916;188.668;297.64;20936.3;;;;402;;;;;;;;;;;
2021-04-19;10:13:47;MP_005;0001;8;AFF1FF112FF---1FF-------------;;299.7688;-0.7498747;-2.926077;20565.96;-4.595515;370.4031;749.80;100.580;2729;1660;25.01;25.95;26.91;25.13;1498.6;1.7;39.2;7;66.47;0.3589861;12.71337;28.2369;1.93282;186.0036;297.58;20943.3;;;;402;428;;;0.0607;38.24;;;;;;0.840
2021-04-19;10:17:02;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;199.614;-0.6619307;;20581.63;-12.00033;;749.75;100.578;2731;1678;25.00;25.96;26.94;25.05;1498.8;1.9;39.3;7;;;;;;;;;;;;402;;;;;;;;;;;
2021-04-19;10:21:02;MP_005;0001;8;AFF1FF112FF---1FF-------------;;199.7042;-0.6619307;-2.242214;20562.06;-12.00033;464.5656;749.64;100.580;2733;1681;24.98;25.94;26.84;24.99;1499.4;1.9;39.2;7;66.88;0.4561625;12.60283;36.19524;1.390426;134.9232;198.12;21038.6;;;;398;;;;;;;;;;;
2021-04-19;10:21:33;MP_005;0001;8;AFF1FF112FF---1FF-------------;;199.6715;-0.6619307;-2.25102;20565.39;-12.00033;469.8194;749.90;100.600;2734;1686;25.01;25.96;26.85;25.10;1497.6;1.7;39.2;7;66.82;0.461361;12.6284;36.53359;1.398201;135.0835;198.07;21051.4;;;;398;421;;;0.0546;34.36;;;;;;0.840
2021-04-19;10:24:48;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;99.33974;-0.678311;;20567.06;-21.67584;;749.70;100.592;2737;1676;24.99;25.95;26.87;24.99;1499.0;1.7;39.3;7;;;;;;;;;;;;398;;;;;;;;;;;
2021-04-19;10:28:48;MP_005;0001;8;AFF1FF112FF---1FF-------------;;99.38034;-0.678311;-1.194294;20563.36;-21.67584;529.4413;749.63;100.580;2739;1716;25.00;25.93;26.85;24.99;1499.0;1.6;39.4;7;67.07;0.5275554;12.49975;42.20528;0.4313377;81.16591;98.86;21114.5;;;;397;;;;;;;;;;;
2021-04-19;10:29:19;MP_005;0001;8;AFF1FF112FF---1FF-------------;;99.50771;-0.678311;-1.162838;20548.5;-21.67584;536.3945;749.80;100.570;2740;1728;25.01;25.93;26.91;25.08;1498.6;1.7;39.2;7;66.98;0.5343296;12.51766;42.68606;0.4012199;82.57326;99.01;21106.3;;;;397;418;;;0.0502;31.62;;;;;;0.840
2021-04-19;10:32:34;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;48.69466;-0.6968641;;20575.88;-26.07645;;749.62;100.568;2742;1724;24.99;25.94;26.75;24.96;1498.8;1.7;39.5;7;;;;;;;;;;;;397;;;;;;;;;;;
2021-04-19;10:36:34;MP_005;0001;8;AFF1FF112FF---1FF-------------;;49.67327;-0.6968641;-0.5460926;20556.83;-26.07645;572.1212;749.61;100.576;2743;1747;24.99;25.92;26.78;24.97;1499.2;1.6;39.5;7;67.21;0.5726348;12.43382;46.05462;-0.1698063;54.56347;49.82;21155.0;;;;394;;;;;;;;;;;
2021-04-19;10:37:05;MP_005;0001;8;AFF1FF112FF---1FF-------------;;49.54578;-0.6968641;-0.550384;20560.37;-26.07645;582.4265;749.83;100.570;2742;1743;25.01;25.90;26.63;25.05;1498.6;0.9;39.2;7;67.18;0.5826746;12.38855;47.03332;-0.1662396;54.18841;49.68;21169.6;;;;394;413;;;0.0460;28.96;;;;;;0.840
2021-04-19;10:40:20;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;400.2879;-0.8258014;;20554.29;7.339465;;749.60;100.578;2744;1737;24.99;25.91;26.71;24.96;1499.2;1.4;39.3;7;;;;;;;;;;;;390;;;;;;;;;;;
2021-04-19;10:44:20;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.7013;-0.8258014;-5.184657;20556.41;7.339465;589.4897;749.61;100.600;2745;1741;25.00;25.92;26.73;24.96;1498.8;1.4;39.6;7;67.16;0.5572599;12.45539;44.74044;3.86398;254.3026;395.34;21138.6;;;;389;;;;;;;;;;;
2021-04-19;10:45:20;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.8762;-0.8258014;-5.097603;20554.5;7.339465;575.6715;749.66;100.588;2745;1743;25.00;25.94;26.83;24.97;1499.2;1.4;39.5;7;67.09;0.5440617;12.51437;43.47495;3.787763;253.3545;395.60;21122.8;;;;390;;;;;;;;;;;
2021-04-19;10:46:20;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.5231;-0.8258014;-5.046855;20554.42;7.339465;558.2987;749.81;100.592;2745;1729;25.00;25.94;26.78;24.99;1499.2;1.6;39.4;7;67.04;0.5275242;12.51791;42.14153;3.747682;250.2666;395.30;21105.4;;;;387;;;;;;;;;;;
2021-04-19;10:46:41;MP_005;0001;8;AFF1FF112FF---1FF-------------;;399.7596;-0.8258014;-4.969953;20556.83;7.339465;551.959;749.83;100.580;2746;1711;25.03;25.93;26.76;25.10;1499.6;1.7;39.7;7;66.90;0.5214659;12.52079;41.64799;3.677939;251.5416;395.63;21100.2;;;;387;417;;;0.0719;45.31;;;;;;0.840
2021-04-19;10:49:56;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;600.2225;-0.8248294;;20569.4;21.23221;;749.64;100.602;2747;1750;25.00;25.94;26.82;24.99;1498.8;1.6;39.4;7;;;;;;;;;;;;386;;;;;;;;;;;
2021-04-19;10:53:56;MP_005;0001;8;AFF1FF112FF---1FF-------------;;599.4321;-0.8248294;-7.123634;20560.27;21.23221;531.1624;749.64;100.584;2749;1714;24.99;25.94;26.76;24.97;1499.0;1.9;39.5;7;66.97;0.4881174;12.55635;38.87415;5.612808;358.5731;593.13;21070.2;;;;386;;;;;;;;;;;
2021-04-19;10:54:27;MP_005;0001;8;AFF1FF112FF---1FF-------------;;599.3521;-0.8248294;-7.209489;20575.64;21.23221;531.6399;749.75;100.580;2748;1746;25.03;25.92;26.82;25.08;1498.6;1.7;39.2;7;66.84;0.4886481;12.50776;39.0676;5.693861;356.3392;592.96;21081.4;;;;386;417;;;0.0743;46.79;;;;;;0.840
2021-04-19;10:57:42;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;799.7431;-0.9616868;;20573.22;28.38205;;749.71;100.578;2750;1749;25.00;25.92;26.76;24.97;1499.2;1.6;39.6;7;;;;;;;;;;;;386;;;;;;;;;;;
2021-04-19;11:01:42;MP_005;0001;8;AFF1FF112FF---1FF-------------;;798.6501;-0.9616868;-9.340528;20569.03;28.38205;538.1609;749.67;100.568;2752;1742;25.00;25.94;26.75;24.99;1499.6;1.4;39.3;7;66.94;0.4879938;12.56619;38.83387;7.466062;477.9208;790.27;21078.8;;;;385;;;;;;;;;;;
2021-04-19;11:02:13;MP_005;0001;8;AFF1FF112FF---1FF-------------;;798.7833;-0.9616868;-9.348723;20573.4;28.38205;539.4617;749.70;100.570;2751;1708;25.03;25.95;26.66;25.08;1499.6;0.9;39.2;7;66.84;0.489259;12.57243;38.91522;7.47296;478.3708;790.38;21084.6;;;;385;421;;;0.0855;53.86;;;;;;0.840
2021-04-19;11:05:29;ZPi005;0000;8;AFF1FF112FF---1FF-------------;;1000.946;-0.9174745;;20576.23;39.7464;;749.58;100.576;2753;1736;25.00;25.95;26.83;24.98;1499.4;1.7;39.4;7;;;;;;;;;;;;385;;;;;;;;;;;
