USDA_Species_Code,Species,Sample_ID,Machine_name,Sample_Date,Time,QC,Patm,A,Qin,RHs,CO2s,Tleaf,Ci
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,11:12:02,1,100.7751923,15.34183202,1998.92627,57.67134476,389.9630127,15.1808424,290.6716689
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,11:53:29,,100.7665787,13.08987499,2000.198608,56.96805573,390.0315552,14.86970425,257.3421681
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,11:56:50,,100.765007,12.08044809,1499.440063,53.63904572,390.1662292,14.76982117,259.7334936
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:00:11,,100.763916,11.17027625,1250.454834,50.62931824,389.9899902,14.882514,268.2665481
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:02:17,,100.7628708,10.70427669,1000.816956,49.32269287,390.1048889,14.83151627,269.1368399
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:05:22,,100.7605362,10.09681762,750.3051758,46.74913025,390.3701172,14.84550953,279.6124606
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:08:43,,100.7603607,8.964440337,500.0391846,50.97926331,390.1000671,14.72815895,272.4066272
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:12:04,,100.7532196,6.940970086,248.8516693,48.32887268,390.1600342,14.12588501,305.1693808
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:15:25,,100.7501297,6.456351106,200.2223969,48.77975464,389.67276,14.77671909,307.7368154
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:17:36,,100.7517395,3.991950386,149.7266998,51.66201782,389.9318542,14.81243992,323.0025527
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:20:57,,100.7452393,2.588720087,99.78121185,52.00989151,390.0843506,14.98082352,343.264226
ERAN6,Eriophorum angustifolium,1818,Bernie,20160709,12:24:18,,100.7482834,1.167888207,75.568367,54.00461197,389.6624451,14.8145895,359.7186198
